Proptype,Locality,Count,lat,lng,ROI
KONDOMINIUM,"DESA KARUN MAS, ULU LANGAT",110,3.00525,101.7559453,40.30328648
KONDOMINIUM,"DESA KUDALARI, KUALA LUMPUR",46,3.156728,101.7200114,22.48313065
KONDOMINIUM,"DESA PALMA, KUALA LUMPUR",44,3.1567397,101.7291156,7.783134688
KONDOMINIUM,"DESA PARK CITY (NADIA), KUALA LUMPUR",56,3.186244,101.6299321,34.84665095
KONDOMINIUM,"DESA PARK CITY (THE BREEZEWAY), KUALA LUMPUR",38,3.1849772,101.6349029,24.73605358
KONDOMINIUM,"DESA PARK CITY (ZENIA), KUALA LUMPUR",15,3.184555,101.62751,30.63543275
KONDOMINIUM,"DESA PELANGI CONDOMINIUM, SEPANG",23,2.691369,101.7505271,26.06965599
KONDOMINIUM,"DESA PUTRA KUALA LUMPUR, KUALA LUMPUR",164,3.1998595,101.7378261,22.70908049
KONDOMINIUM,"DESARIA VILLA, SEPANG",37,2.9772755,101.6386548,18.12645055
KONDOMINIUM,"DESARINA CONDOMINIUM, KUALA LUMPUR",118,3.107152,101.6838569,35.7623864
KONDOMINIUM,"DESA SERI PUTERI, KUALA LUMPUR",105,3.0846039,101.7143466,35.40956103
KONDOMINIUM,"DESA VILLA CONDOMINIUM, KUALA LUMPUR",141,3.111316,101.6848688,28.40886828
KONDOMINIUM,"DESA VILLAS, KUALA LUMPUR",19,3.18841,101.7387079,27.09775617
KONDOMINIUM,"DE TROPICANA, KUALA LUMPUR",239,3.0867448,101.6931441,36.27118633
KONDOMINIUM,"D HAVEN CONDOMINIUM, KLANG",79,3.0262,101.4229901,27.37040535
KONDOMINIUM,"DIAMAN CRIMSON, PETALING",501,3.1150578,101.5917184,35.8917389
KONDOMINIUM,"D MAYANG, KUALA LUMPUR",48,3.1609361,101.7134792,12.25614105
KONDOMINIUM,"DOWNTOWN CONDOMINIUM, KUALA LUMPUR",32,3.148681,101.706872,39.11474865
KONDOMINIUM,"DUA RESIDENCY, KUALA LUMPUR",207,3.154503,101.7209901,-5.053953957
KONDOMINIUM,"DUTA RIA, KUALA LUMPUR",172,3.178612,101.65495,31.21731417
KONDOMINIUM,"DYNASTY CONDOMINIUM, KLANG",96,3.0531914,101.4636933,34.60080018
KONDOMINIUM,"DYNASTY GARDEN CONDOMINIUM, KUALA LUMPUR",334,3.0886425,101.6861045,30.61877426
KONDOMINIUM,"ENAU COURT, KUALA LUMPUR",16,3.1616522,101.7322124,6.971303566
KONDOMINIUM,"ENDAH PURI CONDOMINIUM, KUALA LUMPUR",114,3.064991,101.7015635,27.33780548
KONDOMINIUM,"ENDAH REGAL, KUALA LUMPUR",320,3.0633851,101.6984236,34.71135393
KONDOMINIUM,"ENDAH RIA, KUALA LUMPUR",333,3.0633851,101.6984236,34.34425218
KONDOMINIUM,"ENDAH VILLA, KUALA LUMPUR",318,3.064535,101.692143,34.49466999
KONDOMINIUM,"ESTANA COURT, GOMBAK",85,3.2005664,101.7640694,23.26685048
KONDOMINIUM,"FERNLEA COURT, KUALA LUMPUR",12,3.155337,101.729776,13.21447445
KONDOMINIUM,"FIVE STONE, PETALING",84,3.1238544,101.6268563,21.01990817
KONDOMINIUM,"FLORA MURNI CONDOMINIUM, KUALA LUMPUR",31,3.1660483,101.6488444,10.10373415
KONDOMINIUM,"FORTUNA COURT, KUALA LUMPUR",71,3.06654,101.6688398,40.49245889
KONDOMINIUM,"GALERI U THANT, KUALA LUMPUR",10,NA,NA,-19.72070995
KONDOMINIUM,"GAYA MELAWATI, GOMBAK",109,3.209652,101.7518389,25.23918267
KONDOMINIUM,"GCB COURT, KUALA LUMPUR",78,3.1610923,101.7489787,32.12490124
KONDOMINIUM,"GEMILANG INDAH, KUALA LUMPUR",80,3.106981,101.6770579,40.69304724
KONDOMINIUM,"GOLD COAST MORIB RESORT, KUALA LANGAT",13,2.715218,101.460146,-4.041347284
KONDOMINIUM,"GOLDEN CITY CONDOMINIUM, KUALA LUMPUR",23,3.17196,101.6917301,16.45889283
KONDOMINIUM,"GREEN AVENUE CONDOMINIUM, KUALA LUMPUR",155,3.060485,101.674616,33.52287909
KONDOMINIUM,"GREENFIELD, KUALA LUMPUR",23,3.1706325,101.665656,12.35487321
KONDOMINIUM,"G RESIDENCE, KUALA LUMPUR",310,3.1496106,101.7367465,17.32240946
KONDOMINIUM,"GURNEY HEIGHTS, KUALA LUMPUR",306,3.1703662,101.7284957,29.19509925
KONDOMINIUM,"HAMPSHIRE PARK, KUALA LUMPUR",65,3.161257,101.7156949,6.861326497
KONDOMINIUM,"HAMPSHIRE PLACE RESIDENCES, KUALA LUMPUR",108,3.1616627,101.7149426,18.24768593
KONDOMINIUM,"HARTAMAS REGENCY 2, KUALA LUMPUR",151,3.173123,101.662749,12.51280706
KONDOMINIUM,"HARTAMAS REGENCY, KUALA LUMPUR",190,3.1742235,101.6629828,20.13538823
KONDOMINIUM,"HERITAGE MINES RESORT CITY, PETALING",169,3.025431,101.717887,21.11832346
KONDOMINIUM,"HERON RESIDENCY, PETALING",126,2.9891377,101.62631,29.59979278
KONDOMINIUM,"HIJAUAN HEIGHTS, ULU LANGAT",74,2.9451463,101.797573,6.325076588
KONDOMINIUM,"HIJAUAN KIARA, KUALA LUMPUR",136,3.166269,101.6466008,5.131158933
KONDOMINIUM,"HIJAUAN PUTERI CONDOMINIUM, PETALING",81,3.0065248,101.6241323,14.11363937
KONDOMINIUM,"HIJAUAN SAUJANA, PETALING",73,3.1021287,101.5857911,-15.24097428
KONDOMINIUM,"IDAMAN PUTRA, KUALA LUMPUR",142,3.2108667,101.7123004,29.6496681
KONDOMINIUM,"IDAMAN RESIDENCE, KUALA LUMPUR",122,3.156763,101.708584,-11.33374311
KONDOMINIUM,"IMPERIAL RESIDENCY, ULU LANGAT",18,3.0725223,101.7588949,4.09062134
KONDOMINIUM,"IMPIANA ON THE WATERFRONT, GOMBAK",92,3.160378,101.7497794,12.20803932
KONDOMINIUM,"INARA CONDOMINIUM, KUALA LUMPUR",10,3.1397953,101.6655188,16.31822786
KONDOMINIUM,"INDAH DAMANSARA, KUALA LUMPUR",35,3.150438,101.665598,14.19662847
KONDOMINIUM,"IOI RESORT (DENGKIL), SEPANG",301,2.968031,101.70751,28.04456341
KONDOMINIUM,"JALIL DAMAI APT, KUALA LUMPUR",372,3.0561635,101.6701826,35.4140969
KONDOMINIUM,"JAMNAH VIEW, KUALA LUMPUR",93,3.1445605,101.6675178,36.91510225
KONDOMINIUM,"JELITA COURT, KUALA LUMPUR",11,3.16336,101.71598,29.94476305
KONDOMINIUM,"JUTA MINES CONDOMINIUM, ULU LANGAT",306,3.0235064,101.7302723,29.76202314
KONDOMINIUM,"KAMPUNG BATU 14 PUCHONG, PETALING",45,2.9961732,101.6314212,10.86594686
KONDOMINIUM,"KAMPUNG WARISAN, GOMBAK",176,3.1761309,101.7348992,22.34536622
KONDOMINIUM,"KELAB LE CHATEAU II, KUALA LUMPUR",81,3.1204423,101.691956,35.96321201
KONDOMINIUM,"KELANA D'PUTERA, PETALING",117,3.1071551,101.5928935,32.73810522
KONDOMINIUM,"KELANA MAHKOTA CONDOMINIUM, PETALING",79,3.1030455,101.5923875,0.230715513
KONDOMINIUM,"KELANA PARK VIEW, PETALING",32,3.1006212,101.5991965,32.128974
KONDOMINIUM,"KELANA PUTERI CONDOMINIUM, PETALING",49,3.1076324,101.5948929,35.71387121
KONDOMINIUM,"KELANA SENTRAL CONDOMINIUM, PETALING",18,3.106471,101.598642,-7.144211124
KONDOMINIUM,"KENANGA POINT, KUALA LUMPUR",36,3.1351502,101.7076745,41.47056281
KONDOMINIUM,"KEN DAMANSARA, PETALING",263,3.1289476,101.6277117,30.00394546
KONDOMINIUM,"KESTANA APARTMENT, KUALA LUMPUR",82,3.1940993,101.6253455,39.28157938
KONDOMINIUM,"KETUMBAR HILL, KUALA LUMPUR",271,3.1032227,101.7451428,33.16009079
KONDOMINIUM,"KIARA 1888, KUALA LUMPUR",185,3.170099,101.6494571,12.31433248
KONDOMINIUM,"KIARA 3, KUALA LUMPUR",66,3.1679871,101.6488789,-31.14102542
KONDOMINIUM,"KIARA 9 RESIDENCY, KUALA LUMPUR",52,3.1699338,101.6489269,23.81329928
KONDOMINIUM,"KIARAMAS AYURIA CONDOMINIUM, KUALA LUMPUR",482,3.1681351,101.6425155,15.80637601
KONDOMINIUM,"KIARAMAS CENDANA, KUALA LUMPUR",159,3.166748,101.6421952,16.73398926
KONDOMINIUM,"KIARAMAS DANAI, KUALA LUMPUR",79,3.166228,101.6427716,8.82284227
KONDOMINIUM,"KIARAMAS SUTERA CONDOMINIUM, KUALA LUMPUR",213,3.166748,101.6421952,17.53916619
KONDOMINIUM,"KIARA PARK, KUALA LUMPUR",204,3.1539458,101.6256058,29.39043109
KONDOMINIUM,"KIARA RESIDENCE BUKIT JALIL, KUALA LUMPUR",214,3.064002,101.66916,13.28104464
KONDOMINIUM,"KIARA VIEW, KUALA LUMPUR",60,3.160648,101.644736,31.87201214
KONDOMINIUM,"KIARA VILLE, KUALA LUMPUR",410,3.1724156,101.6596039,11.97309167
KONDOMINIUM,"KIPARK SELAYANG, GOMBAK",100,3.2584814,101.6519129,29.92171634
KONDOMINIUM,"KIRANA CONDOMINIUM, KUALA LUMPUR",27,3.15478,101.71036,-0.002801818
KONDOMINIUM,"KLANG REGENCY CONDOMINIUM, KLANG",334,3.043061,101.4406571,29.49910036
KONDOMINIUM,"KM 1 BUKIT JALIL, KUALA LUMPUR",129,3.0583541,101.6752033,19.51003943
KONDOMINIUM,"KOI KINRARA, PETALING",420,3.0716788,101.6226433,28.10342471
KONDOMINIUM,"KOI LEGIAN CONDOMINIUM, PETALING",67,3.060441,101.633598,33.55664628
KONDOMINIUM,"KOI PRIMA, KUALA LANGAT",54,2.9757414,101.5766492,64.21242303
KONDOMINIUM,"KOI TROPIKA CONDOMINIUM, PETALING",404,3.0078575,101.617866,33.71573221
KONDOMINIUM,"KONDO PARK AVENUE DAMANSARA DAMAI, PETALING",69,3.192002,101.5931639,0.879489156
KONDOMINIUM,"KONDO PARK AVENUE PJS 1, PETALING",415,3.0771659,101.6505176,20.6739289
KONDOMINIUM,"KONDO VILLA PANTAI, KUALA LUMPUR",54,3.139003,101.686855,0.103556954
KONDOMINIUM,"KRISTAL VIEW SEKSYEN 7, PETALING",28,3.0718354,101.4806056,-3.864655663
KONDOMINIUM,"KUCHAI BREM PARK, KUALA LUMPUR",254,3.0869833,101.6878183,36.44853864
KONDOMINIUM,"KYOTO GARDENS (BUKIT ANTARABANGSA), GOMBAK",73,3.181769,101.770834,30.74914624
KONDOMINIUM,"LA COSTA CONDOMINIUM SUNWAY SOUTH QUAY, PETALING",26,3.0601161,101.6044553,-12.49522838
KONDOMINIUM,"LA GRANDE KIARA, KUALA LUMPUR",279,3.1743906,101.6580135,14.77323925
KONDOMINIUM,"LAMAN SCENARIA KIARA, KUALA LUMPUR",42,3.1824312,101.6512281,-16.80016857
KONDOMINIUM,"LAMAN SURIA, KUALA LUMPUR",154,3.1688611,101.6493375,20.9273547
KONDOMINIUM,"LANAI KIARA, KUALA LUMPUR",128,3.165659,101.648767,25.00188054
KONDOMINIUM,"LANGAT JAYA CONDOMINIUM, ULU LANGAT",121,3.068995,101.7795481,31.33081792
KONDOMINIUM,"LE CHATEAU, KUALA LUMPUR",51,3.1204423,101.691956,33.09134223
